iter	Passed	Remaining
0	6	1355
1	14	1394
2	20	1362
3	27	1357
4	35	1366
5	42	1363
6	50	1401
7	60	1447
8	68	1448
9	76	1450
10	84	1444
11	91	1435
12	98	1422
13	105	1407
14	112	1388
15	119	1368
16	125	1353
17	132	1334
18	138	1317
19	144	1303
20	151	1290
21	159	1294
22	166	1282
23	173	1268
24	179	1256
25	186	1246
26	192	1235
27	199	1227
28	206	1217
29	212	1205
30	219	1197
31	226	1186
32	233	1181
33	240	1172
34	246	1162
35	253	1153
36	260	1145
37	266	1137
38	273	1128
39	280	1121
40	286	1110
41	293	1104
42	299	1095
43	306	1086
44	313	1078
45	319	1070
46	326	1061
47	332	1051
48	339	1045
49	346	1038
50	353	1032
51	359	1023
52	366	1016
53	373	1008
54	379	1001
55	387	995
56	394	990
57	402	985
58	409	977
59	415	970
60	423	964
61	430	958
62	438	952
63	445	945
64	452	938
65	459	932
66	466	925
67	471	915
68	479	909
69	486	903
70	493	896
71	500	890
72	507	883
73	514	876
74	522	870
75	529	863
76	537	857
77	544	851
78	551	845
79	559	839
80	567	833
81	575	828
82	583	822
83	591	816
84	598	810
85	606	804
86	616	800
87	623	793
88	631	787
89	638	780
90	646	774
91	654	767
92	661	761
93	669	755
94	677	748
95	685	742
96	692	735
97	700	729
98	708	722
99	716	716
100	724	710
101	732	703
102	739	696
103	747	690
104	755	683
105	763	677
106	771	670
107	780	664
108	788	658
109	795	651
110	803	644
111	811	637
112	820	631
113	828	624
114	836	618
115	844	611
116	852	604
117	859	597
118	868	591
119	876	584
120	884	577
121	891	570
122	899	563
123	907	556
124	915	549
125	923	542
126	931	535
127	940	528
128	948	521
129	955	514
130	963	507
131	971	500
132	978	493
133	986	486
134	995	479
135	1003	472
136	1010	464
137	1019	457
138	1027	450
139	1034	443
140	1042	436
141	1050	428
142	1057	421
143	1065	414
144	1073	407
145	1085	401
146	1093	394
147	1101	386
148	1108	379
149	1116	372
150	1124	364
151	1132	357
152	1139	350
153	1146	342
154	1154	335
155	1162	327
156	1169	320
157	1177	312
158	1185	305
159	1192	298
160	1201	290
161	1210	283
162	1218	276
163	1226	269
164	1235	262
165	1243	254
166	1250	247
167	1258	239
168	1266	232
169	1274	224
170	1282	217
171	1290	210
172	1298	202
173	1306	195
174	1314	187
175	1322	180
176	1330	172
177	1338	165
178	1346	157
179	1354	150
180	1361	142
181	1370	135
182	1379	128
183	1387	120
184	1395	113
185	1403	105
186	1411	98
187	1419	90
188	1426	83
189	1434	75
190	1442	67
191	1450	60
192	1457	52
193	1465	45
194	1473	37
195	1481	30
196	1489	22
197	1496	15
198	1504	7
199	1512	0
